ID FR;ID EN;Niveau;Type;Libellé;Actif;Ancien ID FR;Ancien libellé;Ancien actif;Code;Catégorie
21000;11000;1;node;Absent de l'école;1;4;Absent de l'école;1;absence_school;absence
21100;11100;2;node;Justifiée;1;215;Type_Niv2_01;0;absence_school_justifiee;absence
21110;11110;3;slot;Categorie_Niv21100_Level_1;0;2;Retard;1;type_niv3_21110;absence
21120;11120;3;slot;Categorie_Niv21100_Level_2;0;65;Transport;1;type_niv3_21120;absence
21130;11130;3;slot;Categorie_Niv21100_Level_3;0;257;Type_Niv4_01;0;type_niv3_21130;absence
21140;11140;3;slot;Categorie_Niv21100_Level_4;0;346;Type_Niv4_02;0;type_niv3_21140;absence
21200;11200;2;node;Justifiée (sans détail);1;7;Justifiée (sans détail);1;absence_school_justified;absence
21210;11210;3;slot;Categorie_Niv21200_Level_1;0;6;Maladie;1;type_niv3_21210;absence
21220;11220;3;slot;Categorie_Niv21200_Level_2;0;66;Autre;1;type_niv3_21220;absence
21230;11230;3;slot;Categorie_Niv21200_Level_3;0;258;Type_Niv4_01;0;type_niv3_21230;absence
21240;11240;3;slot;Categorie_Niv21200_Level_4;0;347;Type_Niv4_02;0;type_niv3_21240;absence
21300;11300;2;node;Injustifiée;1;8;Injustifiée;1;absence_school_unjustified;absence
21310;11310;3;slot;Categorie_Niv21300_Level_1;0;9;Maladie;0;type_niv3_21310;absence
21320;11320;3;slot;Categorie_Niv21300_Level_2;0;67;Autre;1;type_niv3_21320;absence
21330;11330;3;slot;Categorie_Niv21300_Level_3;0;259;Type_Niv4_01;0;type_niv3_21330;absence
21340;11340;3;slot;Categorie_Niv21300_Level_4;0;348;Type_Niv4_02;0;type_niv3_21340;absence
21400;11400;2;slot;Categorie_Niv21000_Level_4;0;1;Absence;1;type_niv2_21400;absence
21500;11500;2;slot;Categorie_Niv21000_Level_5;0;64;Familial;1;type_niv2_21500;absence
21600;11600;2;slot;Categorie_Niv21000_Level_6;0;256;Type_Niv4_01;0;type_niv2_21600;absence
22000;12000;1;node;Absent du cours;1;5;Absent du cours;1;absence_class;absence
